wbid	deletion	N2
B0024.13	WBGene00007102	402.613717960636	289.779472692387
B0024.14	WBGene00007103	173.163128956674	208.253815759445
B0024.15	WBGene00007104	1.01590743428629	2.66308394607773
B0024.2	WBGene00000723	6.49125625184577	7.418033403874
B0024.3	WBGene00007096	13.6225735352672	15.9703616833269
B0024.4	WBGene00007097	9.03627246046185	3.24623165767643
B0024.6	WBGene00001533	0.72184263561407	2.98550684800575
B0024.8	WBGene00000491	52.9184989387796	125.358470247428
B0024.9	WBGene00007099	169.855936941067	244.045075111609
B0025.1	WBGene00006932	899.772582737015	963.209295847657
B0025.2	WBGene00000814	1694.022896084	2013.16370264351
B0025.4	WBGene00015001	400.123724559309	368.412267495466
B0025.5	WBGene00194700	2.11921055592082	1.79337551934105
B0034.1	WBGene00015002	104.160035027597	36.5260940874511
B0034.2	WBGene00015003	NA	NA
B0034.3	WBGene00000403	5878.7556474318	2210.7926365035
B0034.4	WBGene00015004	6.20054120816871	0.815273591019239
B0034.5	WBGene00015005	6.46886726114327	5.10030180499743
B0034.7	WBGene00044394	36.9550531491726	72.5373413352574
B0035.1	WBGene00007105	2799.18265681071	2848.08530812354
B0035.10	WBGene00001919	8.98609924794369	12.2250424065412
B0035.11	WBGene00007110	1101.61694194577	1278.55439558378
B0035.12	WBGene00007111	436.551788968462	522.062425372333
B0035.13	WBGene00007112	5.77076270466391	15.8142824203011
B0035.14	WBGene00001019	885.690405925835	859.063085114804
B0035.15	WBGene00007113	223.335875225566	175.075311239617
B0035.16	WBGene00007114	44.5312494659767	46.5434665124355
B0035.18	WBGene00044290	103.854538698505	139.039168352798
B0035.2	WBGene00001020	193.891266134923	184.591286431733
B0035.3	WBGene00007106	302.34841438648	198.488139555212
B0035.4	WBGene00007107	511.827093169156	583.846560479293
B0035.5	WBGene00007108	276.795737087537	331.325311061881
B0035.6	WBGene00007109	1135.76708665246	1712.04956975567
B0035.7	WBGene00001921	18.8134646504582	13.2339040241938
B0035.8	WBGene00001922	12.6753284885967	24.262216639481
B0035.9	WBGene00001920	NA	NA
B0041.1	WBGene00015006	1.72231612409545	2.82689675773267
B0041.2	WBGene00015007	4326.44996594635	4847.91755810239
B0041.3	WBGene00015008	190.102232718458	161.362535632307
B0041.4	WBGene00004415	9118.15065354206	13386.9531291758
B0041.5	WBGene00015009	652.953541309079	681.818118292906
B0041.6	WBGene00015010	65.9215824340331	77.7144267078711
B0041.7	WBGene00006961	2850.54215643022	3148.73804789538
B0041.8	WBGene00015011	564.674877318594	497.004337654811
B0047.1	WBGene00015012	2.32443462466225	2.49317086026447
B0047.2	WBGene00015013	5.12720875705303	4.18067022986877
B0047.3	WBGene00015014	8.25857266958619	9.81075465030052
B0047.4	WBGene00015015	0.649024366889091	0.272284591524365
B0198.1	WBGene00006646	95.707003855564	125.65483877641
B0198.2	WBGene00007115	14.2806668658745	29.6959165969703
B0198.3	WBGene00007116	151.778066504567	232.946485324393
B0205.1	WBGene00015017	692.397991082094	916.916971025532
B0205.10	WBGene00015024	1.23280352842914	5.92057971308318
B0205.11	WBGene00015025	519.060420473806	495.876029895515
B0205.12	WBGene00044413	196.688271266223	126.903482958093
B0205.13	WBGene00044644	11.6429110495069	9.75717004919134
B0205.14	WBGene00044646	0.362719924461579	0.335822764151119
B0205.2	WBGene00015018	0.186229379438537	0.274926316556657
B0205.3	WBGene00004466	1733.63145346802	1861.69141254921
B0205.4	WBGene00015019	27.000479134814	41.854243897118
B0205.5	WBGene00015020	0.186229379438537	0.274926316556657
B0205.6	WBGene00015021	274.682159657864	343.133421794264
B0205.7	WBGene00002191	6008.09199793159	7040.77276595369
B0205.8	WBGene00015022	511.460503762046	474.248929880845
B0205.9	WBGene00015023	663.728295616333	806.045077115718
B0207.1	WBGene00015026	1.48410429237455	0.431002287874376
B0207.10	WBGene00015033	1.01707681742104	1.27090631653516
B0207.11	WBGene00015034	0.362720604345814	0.274926972897472
B0207.12	WBGene00000232	34.8119683953186	92.7796623625095
B0207.2	WBGene00015027	4.3080302657009	5.86702194784624
B0207.3	WBGene00001676	7.05017285646559	7.05047887013136
B0207.4	WBGene00000099	1371.47461472773	1294.50566427057
B0207.5	WBGene00015028	12.5612064414636	33.6329229312848
B0207.6	WBGene00015029	169.325908396278	144.887874965399
B0207.7	WBGene00015030	0.362720332573477	0.430800312671212
B0207.8	WBGene00015031	NA	NA
B0207.9	WBGene00015032	0.186229831230988	0.352931712498944
B0212.1	WBGene00015035	20.9923687826542	45.6806799834419
B0212.2	WBGene00015036	0.362721082315353	0.584088762858175
B0212.3	WBGene00015037	185.27269149361	243.98227109205
B0212.4	WBGene00015038	21.1466825838665	22.7458307931327
B0212.5	WBGene00003889	19.2122041820243	52.3994761459594
B0212.6	WBGene00044111	3.02790381726695	10.1249436847151
B0213.10	WBGene00015040	0.362718788955192	0.987374375753606
B0213.11	WBGene00015041	3.34099542433943	6.16497356794616
B0213.12	WBGene00015042	0.186228891506424	0.616690885644165
B0213.14	WBGene00015043	3.98432628961271	5.63605932246553
B0213.15	WBGene00015044	9.58233651274323	9.55284083820256
B0213.16	WBGene00015045	0.36271979399686	0.354539911872896
B0213.17	WBGene00015046	127.92665496768	80.9059840290834
B0213.2	WBGene00003765	21.0586613119646	5.92750199841884
B0213.3	WBGene00003766	1.48054495649576	1.08927294042979
B0213.4	WBGene00003767	226.889538143209	135.987219721085
B0213.5	WBGene00003768	101.441540628399	66.3445773601298
B0213.6	WBGene00003769	733.870730228689	510.099010425953
B0213.7	WBGene00006142	0.186230171460238	0.425969791570961
B0213.8	WBGene00006141	0.186229808055773	0.348438689580327
B0213.9	WBGene00006274	NA	NA
B0218.1	WBGene00015047	132.828961213426	161.422744811028
B0218.2	WBGene00015048	119.345469416052	61.7599181510074
B0218.3	WBGene00004055	574.211986489191	426.824856647338
B0218.5	WBGene00015049	1.06989385997715	3.82474274615254
B0218.6	WBGene00015050	9.66127137637076	6.30123776533743
B0218.7	WBGene00015051	0.362718862463095	0.972399462078775
B0218.8	WBGene00015052	0.659474840661171	6.34646132261041
B0222.1	WBGene00015053	8.15246395897997	9.67442902089407
B0222.10	WBGene00015058	0.658786381714273	0.902290646214753
B0222.11	WBGene00044582	1.46724343113955	2.78659452523515
B0222.2	WBGene00015054	0.740806875367994	0.21892172548753
B0222.3	WBGene00015055	15.6644937678074	30.9885947469527
B0222.4	WBGene00006418	12.1906417468757	30.1249479751656
B0222.5	WBGene00015056	9.34157227307382	7.29530473406377
B0222.6	WBGene00000717	189.676199314873	270.592471301534
B0222.7	WBGene00000718	40.5287881595347	70.8310623808658
B0222.8	WBGene00000599	374.757948466047	606.311255800338
B0222.9	WBGene00015057	116.725413104827	162.510342638168
B0228.1	WBGene00015059	15.3293248791434	16.1737821070432
B0228.4	WBGene00015061	992.588430072803	2021.10057692318
B0228.5	WBGene00015062	39.6888037379167	17.1909063060957
B0228.6	WBGene00015063	259.44378640017	238.743571331827
B0228.7	WBGene00015064	261.734784948723	234.098653164459
B0228.8	WBGene00015065	0.362719801816998	0.218921219329348
B0228.9	WBGene00015066	0.735484632753911	0.335886970720195
B0238.1	WBGene00015067	41.9220886337124	53.6145992329206
B0238.10	WBGene00015074	1229.77697565812	1482.15060134438
B0238.11	WBGene00015075	3400.31594236915	3420.54904717003
B0238.12	WBGene00015076	6.29505818196751	6.73616397432677
B0238.13	WBGene00015077	0.362720604345814	0.274926972897472
B0238.15	WBGene00044537	25.5717521695621	18.5906730327062
B0238.3	WBGene00015068	NA	NA
B0238.5	WBGene00015069	NA	NA
B0238.6	WBGene00015070	0.362719055452457	0.441161881803576
B0238.7	WBGene00015071	0.186228477691816	0.447119619772484
B0238.8	WBGene00015072	1.31548994596601	2.46205842776349
B0238.9	WBGene00015073	474.973425706588	519.924706527776
B0240.1	WBGene00004359	10.5105472282922	14.5945914109771
B0240.2	WBGene00007117	3.20108245811036	2.22231792718015
B0240.3	WBGene00000907	21.3713699361732	56.1106369248549
B0240.4	WBGene00007118	1730.34976823297	2068.74521145877
B0244.10	WBGene00015085	5.94061863187953	8.90506457868926
B0244.11	WBGene00015086	0.186229851218146	0.356853162504541
B0244.2	WBGene00002048	514.353760905655	1039.04186343772
B0244.4	WBGene00015079	1.00792991521865	1.59088738253934
B0244.5	WBGene00015080	1.37884805086135	2.36044705058141
B0244.6	WBGene00015081	2.89043451017729	5.92387482720713
B0244.7	WBGene00015082	1.09287943640737	1.31395246135964
B0244.8	WBGene00015083	206.471376091948	79.5297719086641
B0244.9	WBGene00015084	0.362719801816998	0.218921219329348
B0250.1	WBGene00004413	4811.78089641494	6872.70108714114
B0250.10	WBGene00007127	0.186229379438537	0.274926316556657
B0250.2	WBGene00007119	68.4364403191308	73.184392226826
B0250.4	WBGene00007121	201.782817329066	251.856865345996
B0250.5	WBGene00007122	666.929855031486	743.176661618824
B0250.6	WBGene00007123	1.29546230327092	0.272325568934047
B0250.8	WBGene00007125	0.658693695564259	0.945432665766203
B0250.9	WBGene00007126	32.1471931695134	65.1089932605109
B0252.1	WBGene00015087	5.00958782809195	13.0846774400807
B0252.2	WBGene00000211	225.719163433776	293.987620378386
B0252.3	WBGene00015088	45.1313182042371	58.6137718118931
B0252.4	WBGene00000886	327.765839652003	290.319675933056
B0252.5	WBGene00015089	2.31779962491849	0.866791501858463
B0252.8	WBGene00044615	5.17749887081455	5.92265203906957
B0261.1	WBGene00015091	949.441189402303	1171.96413328802
B0261.2	WBGene00002583	2521.10318971241	4105.21391685436
B0261.4	WBGene00015092	346.814392149068	324.509366399191
B0261.5	WBGene00015093	1.10439631850525	0.488466462407814
B0261.6	WBGene00015094	0.186226631848399	1.09389839298243
B0261.7	WBGene00015095	717.753231030959	629.713898771022
B0261.8	WBGene00015096	530.955616317939	374.464377277359
B0261.9	WBGene00195057	2.10130606260063	0.660391084594761
B0272.1	WBGene00006538	407.03457566713	453.033132305421
B0272.2	WBGene00007128	199.254524152724	201.840905992207
B0272.3	WBGene00007129	1736.6936289215	1382.56033913696
B0272.4	WBGene00007130	265.933899910103	186.224467300389
B0273.1	WBGene00015097	4.82148177359276	6.20355281182845
B0273.2	WBGene00004243	359.702392039321	407.828641372032
B0273.3	WBGene00015098	15.2980095493317	26.0934539299408
B0273.4	WBGene00006745	737.925659031138	898.175869704588
B0280.1	WBGene00015099	294.039682703992	228.130968285599
B0280.10	WBGene00015105	120.210812209765	90.0971402161112
B0280.11	WBGene00015106	0.186228360968002	0.457848455685534
B0280.12	WBGene00001613	19.331243383817	41.9632810546419
B0280.13	WBGene00015107	21.6467597346219	36.0777308614204
B0280.17	WBGene00044674	0.362719577512746	1.33493902679063
B0280.2	WBGene00015100	0.954245302728414	4.57702301232092
B0280.3	WBGene00015101	415.43642774621	405.708267952273
B0280.4	WBGene00003845	69.0286269029867	44.7066087576573
B0280.5	WBGene00015102	1575.12376971177	348.799707076873
B0280.7	WBGene00015103	11.6033507775655	22.0846931494269
B0280.8	WBGene00003609	398.879762626816	381.961596266936
B0280.9	WBGene00015104	675.025720481011	695.443300499512
B0281.1	WBGene00015108	0.362719731207797	0.349422612255523
B0281.3	WBGene00015110	3.05039581648924	2.47446326406016
B0281.4	WBGene00015111	2.61510752217165	4.46723400328894
B0281.5	WBGene00015112	2229.47262486672	1724.72476119717
B0281.6	WBGene00015113	0.362719056498175	0.938444746537979
B0281.8	WBGene00015114	NA	NA
B0284.1	WBGene00007131	17.1512996680343	11.0111466755113
B0284.2	WBGene00007132	17.7594536253091	15.4504533974384
B0284.3	WBGene00007133	470.40485164471	320.787464064193
B0284.4	WBGene00007134	0.362722226387657	0.791349536351559
B0285.1	WBGene00007135	1587.44258803298	2095.61085667104
B0285.10	WBGene00000513	3.24756030353579	1.76126885734373
B0285.3	WBGene00007136	545.673793605914	456.234150386487
B0285.4	WBGene00007137	532.336257313892	518.673757126343
B0285.5	WBGene00002003	976.084132329794	1276.61494771141
B0285.6	WBGene00007138	1.36847557296218	2.0723677595702
B0285.7	WBGene00007139	3589.78679686341	3295.68670191285
B0285.8	WBGene00000511	32.5179280467973	27.5081197272596
B0285.9	WBGene00000512	185.509955796724	180.491457501224
B0286.1	WBGene00015115	249.992141342781	255.816539667739
B0286.2	WBGene00002252	46.615337635631	99.9577446589787
B0286.3	WBGene00015116	47.425909679475	149.87268457213
B0286.4	WBGene00003825	4499.15071609065	4286.86588635858
B0286.5	WBGene00001438	5.37038277560957	4.57667648880615
B0286.6	WBGene00023425	0.647702788158225	0.218921630290378
B0294.1	WBGene00015117	5.43891829269394	13.5075461777795
B0294.3	WBGene00015118	NA	NA
B0302.1	WBGene00002207	1777.60352624304	2466.80535352574
B0302.2	WBGene00015119	2.67398515483757	4.18742299736672
B0302.4	WBGene00015121	6.30710955826546	6.00932381584947
B0302.5	WBGene00015122	73.9399970154458	127.471521685688
B0303.11	WBGene00015131	29.4358937481034	75.3733353443415
B0303.14	WBGene00015132	328.468891416878	340.66787588156
B0303.15	WBGene00015133	391.387640234783	393.63632357827
B0303.16	WBGene00044678	0.186230216514903	0.436713173575748
B0303.2	WBGene00015124	78.7560590574133	100.096976549808
B0303.3	WBGene00015125	2625.7433815602	2638.15415368896
B0303.4	WBGene00015126	1049.8257517523	1192.00183162923
B0303.7	WBGene00015128	383.432182221952	420.333377067701
B0303.8	WBGene00015129	166.701901761638	127.369440330066
B0303.9	WBGene00015130	169.31909174669	150.505797388226
B0304.1	WBGene00001948	NA	NA
B0304.2	WBGene00015134	374.645662714967	270.016351466475
B0304.3	WBGene00015135	64.6737042589074	99.6140394765273
B0304.4	WBGene00015136	93.128508295844	96.0942901077441
B0304.5	WBGene00005058	4.16886024048711	0.877616933711078
B0304.6	WBGene00005059	20.4321743027022	13.6760994915353
B0304.7	WBGene00005060	1.11474394706242	0.274928078283299
B0304.8	WBGene00005061	5.64684128723058	2.36601006640345
B0304.9	WBGene00005062	0.186229261920321	0.74782659504783
B0310.1	WBGene00015137	57.9720356773932	70.3056216517826
B0310.2	WBGene00015138	738.787567745205	1023.73767065757
B0310.3	WBGene00015139	3.43818727937551	2.40582907020434
B0310.5	WBGene00015141	183.468722610968	155.727708529861
B0310.6	WBGene00015142	3.24250960645957	6.26437328061894
B0331.1	WBGene00007140	1.01287012315803	2.0126792335373
B0331.2	WBGene00007141	2.1460051573687	1.44946884154701
B0334.1	WBGene00007142	94.8538957773476	85.3873235601785
B0334.10	WBGene00007148	0.18622936134811	0.272190420537235
B0334.11	WBGene00003868	612.944028999397	652.313016928507
B0334.13	WBGene00007149	24.4894957889499	82.3237652952179
B0334.15	WBGene00195248	6.81805798598208	4.36511539736428
B0334.2	WBGene00006660	5.62627960839491	3.76356593045464
B0334.3	WBGene00007143	1414.53579798629	1475.38752090989
B0334.4	WBGene00007144	967.482157923877	743.827845367111
B0334.5	WBGene00007145	0.186229379438537	0.274926316556657
B0334.6	WBGene00007146	41.685971119154	63.4162537535121
B0334.7	WBGene00005267	1.01645487483247	0.538626836961062
B0334.8	WBGene00000090	556.807593653651	820.685398154009
B0336.1	WBGene00006943	1305.40487524657	1295.7036534972
B0336.10	WBGene00004435	4601.27574593455	5802.84055930828
B0336.11	WBGene00015148	97.9123791774446	195.283365432757
B0336.12	WBGene00015149	0.186229379438537	0.274926316556657
B0336.13	WBGene00015150	673.418602878721	607.486157937748
B0336.2	WBGene00000182	9355.52125873252	9921.78136899098
B0336.3	WBGene00015143	3333.43451433552	4642.75952913165
B0336.4	WBGene00004348	429.419884114355	365.015650309217
B0336.5	WBGene00015145	508.171901805283	513.447211855135
B0336.6	WBGene00015146	1180.94101203257	904.582238882347
B0336.7	WBGene00015147	390.401818794362	442.36878635047
B0336.8	WBGene00002982	619.192469888947	429.496799828737
B0336.9	WBGene00006359	529.300548774407	648.592198816479
B0344.2	WBGene00006955	215.94406314381	506.804369162758
B0348.1	WBGene00015151	NA	NA
B0348.2	WBGene00015152	3.71498138418116	4.88960034326716
B0348.4	WBGene00001177	749.608608821889	1480.57202030023
B0348.5	WBGene00015153	17.716041804531	36.8047936734381
B0348.6	WBGene00002061	1469.0737041001	1493.68135408325
B0350.2	WBGene00006780	10039.0579705191	14699.5478741341
B0350.3	WBGene00015154	0.18622936134811	0.272190420537235
B0353.1	WBGene00015155	10.3633160556279	15.890650907623
B0361.10	WBGene00015164	742.199979029141	955.970577240587
B0361.11	WBGene00015165	2.02954434758367	1.56857120898167
B0361.2	WBGene00015156	363.289600308677	490.927120979127
B0361.3	WBGene00015157	415.631585985817	408.077052623775
B0361.4	WBGene00015158	4.34822816637898	14.8025670257313
B0361.5	WBGene00015159	738.914024567246	368.770270302088
B0361.6	WBGene00015160	447.409237029001	478.676859421354
B0361.7	WBGene00015161	234.512377751131	189.563354576949
B0361.8	WBGene00015162	455.40194194086	520.744048265947
B0361.9	WBGene00015163	176.284522453788	175.636113380238
B0365.1	WBGene00007150	228.328008224675	308.412231607879
B0365.3	WBGene00001137	6753.77007658951	10482.8425144134
B0365.5	WBGene00007152	137.828059152902	234.150244738702
B0365.6	WBGene00007153	26.3022122655851	70.6950273472093
B0365.7	WBGene00007154	6.76150172354142	11.8838131492393
B0379.1	WBGene00007155	76.7971852649988	79.076110977468
B0379.2	WBGene00007156	0.362720604345814	0.274926972897472
B0379.3	WBGene00003508	2505.56209090842	4051.53005264996
B0379.4	WBGene00007054	181.14354276014	398.470516948145
B0379.6	WBGene00007158	0.186229379438537	0.274926316556657
B0379.7	WBGene00007159	0.653818576953739	0.849331409332678
B0391.10	WBGene00007165	13.9276657254634	8.40514591221187
B0391.11	WBGene00007166	2.77754979805711	6.35061626930431
B0391.12	WBGene00006289	0.362721523237428	0.356854248321745
B0391.3	WBGene00007161	NA	NA
B0391.4	WBGene00006080	0.726404668302723	0.78636054728301
B0391.5	WBGene00007162	82.5152317481992	82.3684966128457
B0391.6	WBGene00007163	0.658911498191351	1.16763354703679
B0391.9	WBGene00007164	6.46470107722163	5.03485000559577
B0393.1	WBGene00004469	9286.56288965596	11068.0371804769
B0393.2	WBGene00007167	958.914285799959	902.22107276589
B0393.3	WBGene00007168	3049.58046390815	3974.68301739536
B0393.4	WBGene00007169	3.63229249748836	14.3711186904714
B0393.5	WBGene00007170	562.574013704943	857.069774636933
B0393.6	WBGene00007171	645.84807992131	726.297636639715
B0393.7	WBGene00007172	1.4604054100267	1.23186433574129
B0393.8	WBGene00007173	NA	NA
B0393.9	WBGene00044636	21.1982476074743	17.0471459528339
B0395.1	WBGene00003729	46.4481138308479	52.4302334405062
B0395.2	WBGene00007174	138.864523467076	250.716865713656
B0395.3	WBGene00007175	1193.41487111595	1115.37694432746
B0399.1	WBGene00007176	27.3207921470279	78.9333415463099
B0399.2	WBGene00007177	15.8009152854257	17.9958226845552
B0403.2	WBGene00006712	14.4954418276248	29.220094455873
B0403.3	WBGene00015167	3.69738476704404	3.25535643054959
B0403.4	WBGene00015168	8274.90924620096	8931.17967779726
B0403.5	WBGene00015169	175.516332898486	218.701529350721
B0403.6	WBGene00043982	3.70968814002415	4.50311027458554
B0410.1	WBGene00015170	NA	NA
B0410.2	WBGene00015171	1397.9660079588	1394.00171978409
B0410.3	WBGene00015172	168.869883813354	184.945211114943
B0412.1	WBGene00000895	11.9727322416969	13.1231834238404
B0412.2	WBGene00000903	10.3167579322492	13.1320862659213
B0412.3	WBGene00015173	894.555835945199	1345.98166954896
B0412.4	WBGene00004498	3496.65348073402	3869.26468170362
B0414.1	WBGene00015175	1.10476634258108	0.750750883989623
B0414.2	WBGene00004393	38.6767847142082	52.898073672886
B0414.3	WBGene00001856	5386.89396569373	7256.31676652871
B0414.5	WBGene00000772	1156.82285774665	1829.11836537972
B0414.6	WBGene00001600	328.47570566842	443.974029326598
B0414.7	WBGene00003472	1247.09584873374	1424.49289170498
B0414.8	WBGene00015176	383.750773153813	367.008864585039
B0416.1	WBGene00015177	213.198289778113	305.342425442367
B0416.2	WBGene00015178	NA	NA
B0416.3	WBGene00015179	3.99114265030135	5.77958402130982
B0416.4	WBGene00015180	246.267133904497	206.934535952469
B0416.5	WBGene00015181	4694.62586660857	4587.2944665904
B0416.6	WBGene00001638	142.109069865896	182.51496037829
B0416.7	WBGene00015182	2.49404366126127	1.88354048137245
B0432.1	WBGene00015183	6.10185595186774	2.01089231544534
B0432.10	WBGene00015191	324.338507694896	240.460577513524
B0432.11	WBGene00015192	0.362719801816998	0.218921219329348
B0432.12	WBGene00015193	0.362719863571328	0.34956785859571
B0432.13	WBGene00015194	235.883955221346	227.543943551205
B0432.14	WBGene00044640	7.32604118006325	5.31884855265161
B0432.2	WBGene00015184	744.669730389815	798.073535429255
B0432.3	WBGene00015185	186.244707476703	173.612965246036
B0432.4	WBGene00015186	1022.36181161337	1057.59500366985
B0432.5	WBGene00000296	8.19727247068651	23.1937000495447
B0432.6	WBGene00015187	167.638445123856	236.201729566365
B0432.7	WBGene00015188	241.546599764093	377.815030155556
B0432.8	WBGene00015189	13.4971132073849	7.51814659176955
B0432.9	WBGene00015190	29.16908483314	25.3608875212976
B0454.1	WBGene00002997	409.377743346808	382.349069157389
B0454.10	WBGene00005542	4.07483116978879	2.23885446522148
B0454.2	WBGene00005543	2.78109013728534	1.98951316431575
B0454.3	WBGene00005540	0.56891617010775	0.354311164491668
B0454.4	WBGene00005541	0.186229726243473	0.890157844638104
B0454.5	WBGene00015196	4.37785670070708	7.74381770007882
B0454.6	WBGene00015197	47.2362766377221	80.2381135089669
B0454.7	WBGene00015198	0.362718943034227	0.417996333398391
B0454.8	WBGene00015199	19.3917952837542	9.47382383583014
B0454.9	WBGene00015200	328.308950733797	318.917904664151
B0457.1	WBGene00002251	2939.46596977629	3928.78095832766
B0457.2	WBGene00007178	40.8418011952906	38.3161762174662
B0457.4	WBGene00007179	0.186229379438537	0.274926316556657
B0457.6	WBGene00007180	117.30745191342	119.197686544348
B0462.1	WBGene00007181	6.74523975037026	12.0608738463717
B0462.3	WBGene00007182	223.261039742689	214.117816311845
B0462.4	WBGene00007183	11.7218142604511	65.0869595184723
B0462.5	WBGene00194695	1.90340142840817	2.27996399485148
B0464.1	WBGene00001094	1969.30218184349	2091.59633199986
B0464.2	WBGene00007184	2923.09195749065	3767.38382394497
B0464.3	WBGene00007185	745.145518557223	1000.69984285547
B0464.4	WBGene00000268	340.890245055152	355.300982005312
B0464.5	WBGene00004980	4898.65417622921	4913.74176853974
B0464.6	WBGene00007186	2033.62570064125	2365.10760605535
B0464.7	WBGene00000235	2593.50900567679	2508.93751514239
B0464.8	WBGene00007187	493.430373211484	491.585627443197
B0464.9	WBGene00007188	472.008441510412	513.504330939604
B0478.1	WBGene00002178	91.1423450267678	158.339663112648
B0478.3	WBGene00015202	4.17232602162941	5.06641746364268
B0491.1	WBGene00007189	354.646975135773	308.526091444514
B0491.2	WBGene00005016	3.49435749497871	26.5260215406095
B0491.3	WBGene00007190	0.186227877753329	0.948914804232872
B0491.4	WBGene00007191	48.3914097034571	82.0576473294537
B0491.5	WBGene00007192	2515.81855589893	3135.34310897867
B0491.6	WBGene00007193	473.501281653391	475.622491185895
B0491.7	WBGene00007194	130.513994949723	136.569112117123
B0491.8	WBGene00000529	12.0915168552276	34.872626596782
B0495.1	WBGene00005149	0.362720570622222	0.472379328263099
B0495.10	WBGene00007044	267.695153204182	419.780692094264
B0495.2	WBGene00015203	969.490515972622	1078.73575972618
B0495.4	WBGene00003730	117.116086513113	191.472107129949
B0495.5	WBGene00015204	215.98311279666	245.916419420904
B0495.6	WBGene00015205	915.573697139287	675.198990682767
B0495.7	WBGene00015206	2088.42911504208	3141.54869408541
B0495.8	WBGene00015207	1131.96190057605	1059.11732483971
B0495.9	WBGene00015208	258.430724833285	266.582534664388
B0496.1	WBGene00015210	0.362720604345814	0.274926972897472
B0496.11	WBGene00194883	0.726755667817387	0.462097392935029
B0496.2	WBGene00015211	0.186229851218146	0.356853162504541
B0496.3	WBGene00006814	502.198160289994	943.171312651631
B0496.5	WBGene00015214	0.728314507758174	2.60924952837724
B0496.6	WBGene00015215	0.36271866232091	0.928319570941678
B0496.7	WBGene00015216	74.3218854139861	114.674048045695
B0496.8	WBGene00015217	181.627245229283	256.553002867438
B0507.1	WBGene00015218	250.878824173173	405.623075725614
B0507.10	WBGene00015227	3.81704367630479	11.0553185311047
B0507.11	WBGene00006006	1.73959337212218	0.524217737886322
