wbid	deletion	N2	deletionvsN2.log2.deseq	deletionvsN2.log2	deletionvsN2.log2.pval
B0024.10	WBGene00007100	435.872027537051	416.451481479938	-0.0349686243043914	0.065756195716337	0.984053827108924
B0024.11	WBGene00007101	433.726921817284	493.156289922621	0.21604551062382	-0.185257939211878	0.967314420834831
B0024.12	WBGene00001646	157.955437766176	126.472578650559	-0.289905414027799	0.320692985439757	0.967314420834831
B0024.13	WBGene00007102	402.613717960636	289.779472692387	-0.443653356235612	0.474440927647603	0.967314420834831
B0024.14	WBGene00007103	173.163128956674	208.253815759445	0.296998726669286	-0.266211155257332	0.967314420834831
B0024.15	WBGene00007104	1.01590743428629	2.66308394607773	1.42111652241498	-1.39032895100305	0.967314420834831
B0024.2	WBGene00000723	6.49125625184577	7.418033403874	0.223326626015284	-0.192539054603336	0.979708303165554
B0024.3	WBGene00007096	13.6225735352672	15.9703616833269	0.260185278807181	-0.22939770739525	0.967314420834831
B0024.4	WBGene00007097	9.03627246046185	3.24623165767643	-1.44617424271577	1.47696181412771	0.967314420834831
B0024.6	WBGene00001533	0.72184263561407	2.98550684800575	2.07900718570631	-2.04821961429443	0.967314420834831
B0024.8	WBGene00000491	52.9184989387796	125.358470247428	1.27500300669707	-1.24421543528512	0.967314420834831
B0024.9	WBGene00007099	169.855936941067	244.045075111609	0.553623564170266	-0.522835992758317	0.725338724440393
B0025.1	WBGene00006932	899.772582737015	963.209295847657	0.129076480141943	-0.0982889087299969	0.967314420834831
B0025.2	WBGene00000814	1694.022896084	2013.16370264351	0.279798688804128	-0.24901111739218	0.967314420834831
B0025.4	WBGene00015001	400.123724559309	368.412267495466	-0.0883375001138263	0.11912507152577	0.97624072765297
B0025.5	WBGene00194700	2.11921055592082	1.79337551934105	-0.210061754255076	0.240849325667046	0.985602030748647
B0034.1	WBGene00015002	104.160035027597	36.5260940874511	-1.4810148746863	1.51180244609825	0.967314420834831
B0034.2	WBGene00015003	NA	NA	NA	NA	NA
B0034.3	WBGene00000403	5878.7556474318	2210.7926365035	-1.38015952911608	1.41094710052803	0.714055676196086
B0034.4	WBGene00015004	6.20054120816871	0.815273591019239	-2.89625038582863	2.9270379572408	0.853947139591454
B0034.5	WBGene00015005	6.46886726114327	5.10030180499743	-0.312142918481949	0.342930489893904	0.968426291459365
B0034.7	WBGene00044394	36.9550531491726	72.5373413352574	1.00373979084188	-0.972952219429927	0.967314420834831
B0035.1	WBGene00007105	2799.18265681071	2848.08530812354	0.0557743000551184	-0.0249867286431769	0.984253894914251
B0035.10	WBGene00001919	8.98609924794369	12.2250424065412	0.474860139992614	-0.44407256858064	0.967314420834831
B0035.11	WBGene00007110	1101.61694194577	1278.55439558378	0.245678459981534	-0.214890888569588	0.967314420834831
B0035.12	WBGene00007111	436.551788968462	522.062425372333	0.288857084449857	-0.258069513037919	0.967314420834831
B0035.13	WBGene00007112	5.77076270466391	15.8142824203011	1.48518175253178	-1.45439418111983	0.967314420834831
B0035.14	WBGene00001019	885.690405925835	859.063085114804	-0.0132508405605367	0.0440384119724855	0.996665096154159
B0035.15	WBGene00007113	223.335875225566	175.075311239617	-0.320451791305007	0.351239362716969	0.863742097437689
B0035.16	WBGene00007114	44.5312494659767	46.5434665124355	0.0945481449389406	-0.0637605735270418	0.978409641987343
B0035.18	WBGene00044290	103.854538698505	139.039168352798	0.451714662505802	-0.420927091093864	0.967314420834831
B0035.2	WBGene00001020	193.891266134923	184.591286431733	-0.040125794385575	0.0709133657975281	0.984768844813501
B0035.3	WBGene00007106	302.34841438648	198.488139555212	-0.576371638377937	0.607159209789882	0.946669352545603
B0035.4	WBGene00007107	511.827093169156	583.846560479293	0.22072032125814	-0.189932749846194	0.967314420834831
B0035.5	WBGene00007108	276.795737087537	331.325311061881	0.290214267101014	-0.259426695689067	0.967314420834831
B0035.6	WBGene00007109	1135.76708665246	1712.04956975567	0.622845035085191	-0.592057463673249	0.967314420834831
B0035.7	WBGene00001921	18.8134646504582	13.2339040241938	-0.47673926388721	0.507526835299169	0.967314420834831
B0035.8	WBGene00001922	12.6753284885967	24.262216639481	0.967475799085491	-0.936688227673574	0.929880718648489
B0035.9	WBGene00001920	NA	NA	NA	NA	NA
B0041.1	WBGene00015006	1.72231612409545	2.82689675773267	0.745656798454026	-0.714869227041981	0.967314420834831
B0041.2	WBGene00015007	4326.44996594635	4847.91755810239	0.19496901805258	-0.164181446640633	0.967314420834831
B0041.3	WBGene00015008	190.102232718458	161.362535632307	-0.205682245297009	0.236469816708961	0.967314420834831
B0041.4	WBGene00004415	9118.15065354206	13386.9531291758	0.584802060746147	-0.554014489334192	0.911826155621773
B0041.5	WBGene00015009	652.953541309079	681.818118292906	0.0931941634949474	-0.062406592083002	0.968720538283592
B0041.6	WBGene00015010	65.9215824340331	77.7144267078711	0.268219138598007	-0.237431567186047	0.967314420834831
B0041.7	WBGene00006961	2850.54215643022	3148.73804789538	0.174324974617485	-0.143537403205541	0.967314420834831
B0041.8	WBGene00015011	564.674877318594	497.004337654811	-0.153374431969109	0.184162003381052	0.973865824865575
B0047.1	WBGene00015012	2.32443462466225	2.49317086026447	0.131889477161425	-0.101101905749716	0.984782570566083
B0047.2	WBGene00015013	5.12720875705303	4.18067022986877	-0.263651819143664	0.294439390555604	0.968720538283592
B0047.3	WBGene00015014	8.25857266958619	9.81075465030052	0.279259223286236	-0.248471651874296	0.967314420834831
B0047.4	WBGene00015015	0.649024366889091	0.272284591524365	-1.22236972903117	1.25315730044319	NA
B0198.1	WBGene00006646	95.707003855564	125.65483877641	0.423557389321487	-0.392769817909537	0.969860353872811
B0198.2	WBGene00007115	14.2806668658745	29.6959165969703	1.08698878445787	-1.05620121304592	0.967314420834831
B0198.3	WBGene00007116	151.778066504567	232.946485324393	0.648822813261102	-0.618035241849155	0.967314420834831
B0205.1	WBGene00015017	692.397991082094	916.916971025532	0.435977132852437	-0.405189561440488	0.967314420834831
B0205.10	WBGene00015024	1.23280352842914	5.92057971308318	2.29458311941587	-2.26379554800392	0.967314420834831
B0205.11	WBGene00015025	519.060420473806	495.876029895515	-0.0351354230275902	0.0659229944395339	0.983254588762541
B0205.12	WBGene00044413	196.688271266223	126.903482958093	-0.601391693774192	0.632179265186153	0.967314420834831
B0205.13	WBGene00044644	11.6429110495069	9.75717004919134	-0.224129568484818	0.254917139896779	0.984347519209721
B0205.14	WBGene00044646	0.362719924461579	0.335822764151119	-0.0803683959171659	0.111155967329072	NA
B0205.2	WBGene00015018	0.186229379438537	0.274926316556657	0.592751893259487	-0.561964321847542	NA
B0205.3	WBGene00004466	1733.63145346802	1861.69141254921	0.13360429428848	-0.102816722876527	0.978551200109719
B0205.4	WBGene00015019	27.000479134814	41.854243897118	0.66317647790338	-0.632388906491429	0.967314420834831
B0205.5	WBGene00015020	0.186229379438537	0.274926316556657	0.592751893259487	-0.561964321847541	NA
B0205.6	WBGene00015021	274.682159657864	343.133421794264	0.351794013365904	-0.321006441953952	0.967314420834831
B0205.7	WBGene00002191	6008.09199793159	7040.77276595369	0.25961444912136	-0.22882687770941	0.967314420834831
B0205.8	WBGene00015022	511.460503762046	474.248929880845	-0.0781907461301954	0.108978317542151	0.977965814884295
B0205.9	WBGene00015023	663.728295616333	806.045077115718	0.311055313889559	-0.280267742477614	0.967314420834831
B0207.1	WBGene00015026	1.48410429237455	0.431002287874376	-1.75303747387884	1.78382504529076	NA
B0207.10	WBGene00015033	1.01707681742104	1.27090631653516	0.352216612316687	-0.321429040904698	0.985602030748647
B0207.11	WBGene00015034	0.362720604345814	0.274926972897472	-0.369022672903906	0.399810244315852	NA
B0207.12	WBGene00000232	34.8119683953186	92.7796623625095	1.44501277585749	-1.41422520444555	0.967314420834831
B0207.2	WBGene00015027	4.3080302657009	5.86702194784624	0.476387574936274	-0.445600003524347	0.967314420834831
B0207.3	WBGene00001676	7.05017285646559	7.05047887013136	0.0308501904180332	-6.26190060827698e-05	0.996665096154159
B0207.4	WBGene00000099	1371.47461472773	1294.50566427057	-0.0525390695530971	0.0833266409650406	0.988136903042801
B0207.5	WBGene00015028	12.5612064414636	33.6329229312848	1.45168670122782	-1.42089912981584	0.573001844265835
B0207.6	WBGene00015029	169.325908396278	144.887874965399	-0.19407829702011	0.224865868432058	0.967314420834831
B0207.7	WBGene00015030	0.362720332573477	0.430800312671212	0.2789492494104	-0.248161677998372	NA
B0207.8	WBGene00015031	NA	NA	NA	NA	NA
B0207.9	WBGene00015032	0.186229831230988	0.352931712498944	0.953092450425305	-0.922304879013359	NA
B0212.1	WBGene00015035	20.9923687826542	45.6806799834419	1.15250672784331	-1.12171915643137	0.819811517181843
B0212.2	WBGene00015036	0.362721082315353	0.584088762858175	0.718114599775869	-0.687327028363577	NA
B0212.3	WBGene00015037	185.27269149361	243.98227109205	0.427913640804383	-0.397126069392444	0.967314420834831
B0212.4	WBGene00015038	21.1466825838665	22.7458307931327	0.135958345301748	-0.1051707738898	0.97624072765297
B0212.5	WBGene00003889	19.2122041820243	52.3994761459594	1.47831691383506	-1.44752934242311	0.963658519874915
B0212.6	WBGene00044111	3.02790381726695	10.1249436847151	1.77231017180788	-1.74152260039595	0.93330147500481
B0213.10	WBGene00015040	0.362718788955192	0.987374375753606	1.47553329696027	-1.44474572554771	NA
B0213.11	WBGene00015041	3.34099542433943	6.16497356794616	0.914604273730462	-0.883816702318528	0.967314420834831
B0213.12	WBGene00015042	0.186228891506424	0.616690885644165	1.75825818600848	-1.72747061459612	NA
B0213.14	WBGene00015043	3.98432628961271	5.63605932246553	0.531138568961392	-0.500350997549446	0.969860353872811
B0213.15	WBGene00015044	9.58233651274323	9.55284083820256	0.0263399202290655	0.00444765118291792	0.996665096154159
B0213.16	WBGene00015045	0.36271979399686	0.354539911872896	-0.00211985927613593	0.0329074306882868	NA
B0213.17	WBGene00015046	127.92665496768	80.9059840290834	-0.63021100857599	0.660998579987944	0.967314420834831
B0213.2	WBGene00003765	21.0586613119646	5.92750199841884	-1.79813000728556	1.8289175786975	NA
B0213.3	WBGene00003766	1.48054495649576	1.08927294042979	-0.411975229775009	0.44276280118698	0.984253894914251
B0213.4	WBGene00003767	226.889538143209	135.987219721085	-0.707731445344861	0.73851901675681	0.967314420834831
B0213.5	WBGene00003768	101.441540628399	66.3445773601298	-0.58181053247152	0.612598103883469	0.969860353872811
B0213.6	WBGene00003769	733.870730228689	510.099010425953	-0.493961084406759	0.52474865581871	0.967314420834831
B0213.7	WBGene00006142	0.186230171460238	0.425969791570961	1.22445186886697	-1.19366429745502	NA
B0213.8	WBGene00006141	0.186229808055773	0.348438689580327	0.934608386725141	-0.903820815313194	NA
B0213.9	WBGene00006274	NA	NA	NA	NA	NA
B0218.1	WBGene00015047	132.828961213426	161.422744811028	0.312061705801062	-0.281274134389113	0.967314420834831
B0218.2	WBGene00015048	119.345469416052	61.7599181510074	-0.919613482814527	0.950401054226486	0.672915502154015
B0218.3	WBGene00004055	574.211986489191	426.824856647338	-0.397151679588365	0.42793925100031	0.935545768532136
B0218.5	WBGene00015049	1.06989385997715	3.82474274615254	1.86868260664708	-1.83789503523518	0.967314420834831
B0218.6	WBGene00015050	9.66127137637076	6.30123776533743	-0.585790233739951	0.6165778051519	0.969860353872811
B0218.7	WBGene00015051	0.362718862463095	0.972399462078775	1.4534848949897	-1.42269732357732	NA
B0218.8	WBGene00015052	0.659474840661171	6.34646132261041	3.29735043959751	-3.26656286818556	0.561724659086117
B0222.1	WBGene00015053	8.15246395897997	9.67442902089407	0.277727930155386	-0.246940358743425	0.971653143566188
B0222.10	WBGene00015058	0.658786381714273	0.902290646214753	0.484569068944827	-0.453781497532796	NA
B0222.11	WBGene00044582	1.46724343113955	2.78659452523515	0.956182414745595	-0.925394843333706	0.967314420834831
B0222.2	WBGene00015054	0.740806875367994	0.21892172548753	-1.72789478411043	1.75868235552238	NA
B0222.3	WBGene00015055	15.6644937678074	30.9885947469527	1.01502675867729	-0.984239187265335	0.967314420834831
B0222.4	WBGene00006418	12.1906417468757	30.1249479751656	1.33597224611657	-1.30518467470461	0.967314420834831
B0222.5	WBGene00015056	9.34157227307382	7.29530473406377	-0.325909575297678	0.356697146709616	0.968720538283592
B0222.6	WBGene00000717	189.676199314873	270.592471301534	0.543370611305558	-0.512583039893613	0.974085419910314
B0222.7	WBGene00000718	40.5287881595347	70.8310623808658	0.836222714164093	-0.805435142752147	0.967314420834831
B0222.8	WBGene00000599	374.757948466047	606.311255800338	0.724887099375001	-0.694099527963056	0.967314420834831
B0222.9	WBGene00015057	116.725413104827	162.510342638168	0.508200415393362	-0.477412843981425	0.967314420834831
B0228.1	WBGene00015059	15.3293248791434	16.1737821070432	0.108150491674427	-0.0773629202624614	0.989987678277602
B0228.4	WBGene00015061	992.588430072803	2021.10057692318	1.05666114505599	-1.02587357364404	0.967314420834831
B0228.5	WBGene00015062	39.6888037379167	17.1909063060957	-1.17629890141195	1.20708647282391	0.967314420834831
B0228.6	WBGene00015063	259.44378640017	238.743571331827	-0.0891725266697047	0.119960098081654	0.988950410608815
B0228.7	WBGene00015064	261.734784948723	234.098653164459	-0.130201467826218	0.160989039238168	0.967314420834831
B0228.8	WBGene00015065	0.362719801816998	0.218921219329348	-0.697656139435022	0.72844371084697	NA
B0228.9	WBGene00015066	0.735484632753911	0.335886970720195	-1.0999317930998	1.1307193645115	NA
B0238.1	WBGene00015067	41.9220886337124	53.6145992329206	0.385702874523279	-0.354915303111323	0.967314420834831
B0238.10	WBGene00015074	1229.77697565812	1482.15060134438	0.300082917257321	-0.269295345845373	0.967314420834831
B0238.11	WBGene00015075	3400.31594236915	3420.54904717003	0.0393466868967513	-0.00855911548480253	0.987260176277507
B0238.12	WBGene00015076	6.29505818196751	6.73616397432677	0.128495116798087	-0.0977075453861373	0.989747220617523
B0238.13	WBGene00015077	0.362720604345814	0.274926972897472	-0.369022672903906	0.399810244315852	NA
B0238.15	WBGene00044537	25.5717521695621	18.5906730327062	-0.429184444959541	0.459972016371473	0.967314420834831
B0238.3	WBGene00015068	NA	NA	NA	NA	NA
B0238.5	WBGene00015069	NA	NA	NA	NA	NA
B0238.6	WBGene00015070	0.362719055452457	0.441161881803576	0.313243173646044	-0.282455602233775	NA
B0238.7	WBGene00015071	0.186228477691816	0.447119619772484	1.29437472081891	-1.26358714940676	NA
B0238.8	WBGene00015072	1.31548994596601	2.46205842776349	0.93505234831238	-0.904264776900279	0.967314420834831
B0238.9	WBGene00015073	474.973425706588	519.924706527776	0.161243485971044	-0.130455914559099	0.974340393705546
B0240.1	WBGene00004359	10.5105472282922	14.5945914109771	0.504383608528506	-0.47359603711655	0.967314420834831
B0240.2	WBGene00007117	3.20108245811036	2.22231792718015	-0.495707043987287	0.526494615399161	0.967314420834831
B0240.3	WBGene00000907	21.3713699361732	56.1106369248549	1.42338247084794	-1.39259489943599	0.967314420834831
B0240.4	WBGene00007118	1730.34976823297	2068.74521145877	0.288479854095352	-0.257692282683408	0.967314420834831
B0244.10	WBGene00015085	5.94061863187953	8.90506457868926	0.614800469818265	-0.584012898406311	0.967314420834831
B0244.11	WBGene00015086	0.186229851218146	0.356853162504541	0.969033785013601	-0.938246213601652	NA
B0244.2	WBGene00002048	514.353760905655	1039.04186343772	1.04520849462618	-1.01442092321423	0.967314420834831
B0244.4	WBGene00015079	1.00792991521865	1.59088738253934	0.689223956782893	-0.658436385370996	0.967314420834831
B0244.5	WBGene00015080	1.37884805086135	2.36044705058141	0.806384211730342	-0.775596640318448	0.967314420834831
B0244.6	WBGene00015081	2.89043451017729	5.92387482720713	1.06604234293299	-1.03525477152105	0.967314420834831
B0244.7	WBGene00015082	1.09287943640737	1.31395246135964	0.296566396029453	-0.265778824617795	0.982964439025201
B0244.8	WBGene00015083	206.471376091948	79.5297719086641	-1.34558727942692	1.37637485083887	0.121971774463128
B0244.9	WBGene00015084	0.362719801816998	0.218921219329348	-0.697656139435022	0.72844371084697	NA
B0250.1	WBGene00004413	4811.78089641494	6872.70108714114	0.545093834177645	-0.514306262765697	0.967314420834831
B0250.10	WBGene00007127	0.186229379438537	0.274926316556657	0.592751893259487	-0.561964321847542	NA
B0250.2	WBGene00007119	68.4364403191308	73.184392226826	0.127558853470252	-0.0967712820582999	0.986694892314361
B0250.4	WBGene00007121	201.782817329066	251.856865345996	0.350588301237645	-0.319800729825703	0.967314420834831
B0250.5	WBGene00007122	666.929855031486	743.176661618824	0.186957735511786	-0.15617016409984	0.967314420834831
B0250.6	WBGene00007123	1.29546230327092	0.272325568934047	-2.21927511364583	2.25006268505782	NA
B0250.8	WBGene00007125	0.658693695564259	0.945432665766203	0.552154541729018	-0.521366970316271	NA
B0250.9	WBGene00007126	32.1471931695134	65.1089932605109	1.04895162391199	-1.01816405250004	0.967314420834831
B0252.1	WBGene00015087	5.00958782809195	13.0846774400807	1.41590211795183	-1.38511454653988	0.967314420834831
B0252.2	WBGene00000211	225.719163433776	293.987620378386	0.41201406908061	-0.381226497668666	0.967314420834831
B0252.3	WBGene00015088	45.1313182042371	58.6137718118931	0.407898331866977	-0.377110760455045	0.967314420834831
B0252.4	WBGene00000886	327.765839652003	290.319675933056	-0.144235579042215	0.175023150454157	0.971653143566188
B0252.5	WBGene00015089	2.31779962491849	0.866791501858463	-1.38821136428999	1.41899893570174	0.967314420834831
B0252.8	WBGene00044615	5.17749887081455	5.92265203906957	0.224775566651448	-0.193987995239499	0.977003214229451
B0261.1	WBGene00015091	949.441189402303	1171.96413328802	0.334565445339753	-0.303777873927809	0.967314420834831
B0261.2	WBGene00002583	2521.10318971241	4105.21391685436	0.734189802697312	-0.703402231285371	0.863742097437689
B0261.4	WBGene00015092	346.814392149068	324.509366399191	-0.065116077826038	0.0959036492379909	0.967314420834831
B0261.5	WBGene00015093	1.10439631850525	0.488466462407814	-1.14613899563814	1.17692656704975	NA
B0261.6	WBGene00015094	0.186226631848399	1.09389839298243	2.58513500137656	-2.55434742996478	NA
B0261.7	WBGene00015095	717.753231030959	629.713898771022	-0.158003838217595	0.188791409629542	0.968931280850728
B0261.8	WBGene00015096	530.955616317939	374.464377277359	-0.472975214868894	0.503762786280844	0.967314420834831
B0261.9	WBGene00195057	2.10130606260063	0.660391084594761	-1.63910619066014	1.66989376207247	0.967314420834831
B0272.1	WBGene00006538	407.03457566713	453.033132305421	0.185252786340183	-0.154465214928236	0.984768844813501
B0272.2	WBGene00007128	199.254524152724	201.840905992207	0.0493936770507008	-0.0186061056387602	0.984768844813501
B0272.3	WBGene00007129	1736.6936289215	1382.56033913696	-0.298213253024528	0.329000824436477	0.967314420834831
B0272.4	WBGene00007130	265.933899910103	186.224467300389	-0.483237489604354	0.514025061016302	0.967314420834831
B0273.1	WBGene00015097	4.82148177359276	6.20355281182845	0.394405669326812	-0.363618097914858	0.967314420834831
B0273.2	WBGene00004243	359.702392039321	407.828641372032	0.211946915762698	-0.181159344350752	0.973804408271706
B0273.3	WBGene00015098	15.2980095493317	26.0934539299408	0.801131540837764	-0.770343969425836	0.967314420834831
B0273.4	WBGene00006745	737.925659031138	898.175869704588	0.314310052824762	-0.283522481412816	0.967314420834831
B0280.1	WBGene00015099	294.039682703992	228.130968285599	-0.335360995861487	0.366148567273425	0.899762903349236
B0280.10	WBGene00015105	120.210812209765	90.0971402161112	-0.38522587273173	0.416013444143653	0.900391806509059
B0280.11	WBGene00015106	0.186228360968002	0.457848455685534	1.32858492819191	-1.2977973567796	NA
B0280.12	WBGene00001613	19.331243383817	41.9632810546419	1.14898062164819	-1.11819305023624	0.967314420834831
B0280.13	WBGene00015107	21.6467597346219	36.0777308614204	0.767745086735553	-0.736957515323602	0.967314420834831
B0280.17	WBGene00044674	0.362719577512746	1.33493902679063	1.91063489898776	-1.87984732757527	0.967314420834831
B0280.2	WBGene00015100	0.954245302728414	4.57702301232092	2.29276503203376	-2.26197746062179	0.957289542313712
B0280.3	WBGene00015101	415.43642774621	405.708267952273	-0.0033974501274679	0.0341850215394127	0.99800461061014
B0280.4	WBGene00003845	69.0286269029867	44.7066087576573	-0.595919101822439	0.626706673234402	0.967314420834831
B0280.5	WBGene00015102	1575.12376971177	348.799707076873	-2.14420689176448	2.17499446317642	2.45296164215364e-10
B0280.7	WBGene00015103	11.6033507775655	22.0846931494269	0.959292876483169	-0.928505305071216	0.967314420834831
B0280.8	WBGene00003609	398.879762626816	381.961596266936	-0.031738765953662	0.062526337365591	0.977003214229451
B0280.9	WBGene00015104	675.025720481011	695.443300499512	0.0737779938618188	-0.0429904224498753	0.977003214229451
B0281.1	WBGene00015108	0.362719731207797	0.349422612255523	-0.0230946829865804	0.0538822543986349	NA
B0281.3	WBGene00015110	3.05039581648924	2.47446326406016	-0.271093262081126	0.301880833493046	0.978551200109719
B0281.4	WBGene00015111	2.61510752217165	4.46723400328894	0.803299134274005	-0.772511562862082	0.967314420834831
B0281.5	WBGene00015112	2229.47262486672	1724.72476119717	-0.33954876491835	0.370336336330295	0.967314420834831
B0281.6	WBGene00015113	0.362719056498175	0.938444746537979	1.40220683294273	-1.37141926153069	NA
B0281.8	WBGene00015114	NA	NA	NA	NA	NA
B0284.1	WBGene00007131	17.1512996680343	11.0111466755113	-0.608565616053897	0.639353187465863	0.967314420834831
B0284.2	WBGene00007132	17.7594536253091	15.4504533974384	-0.170150451032126	0.200938022444078	0.967314420834831
B0284.3	WBGene00007133	470.40485164471	320.787464064193	-0.521497604112155	0.552285175524106	0.967314420834831
B0284.4	WBGene00007134	0.362722226387657	0.791349536351559	1.15623748881552	-1.12544991740297	NA
B0285.1	WBGene00007135	1587.44258803298	2095.61085667104	0.431453996831381	-0.400666425419434	0.967314420834831
B0285.10	WBGene00000513	3.24756030353579	1.76126885734373	-0.851953590638245	0.882741162050181	0.967314420834831
B0285.3	WBGene00007136	545.673793605914	456.234150386487	-0.227476747047483	0.258264318459431	0.967314420834831
