gene	WBID	chr	start	stop
F53G12.9	WBGene00018774	CHROMOSOME_I	112364	112915
F53G12.13	WBGene00045049	CHROMOSOME_I	112382	113672
R119.1	WBGene00020087	CHROMOSOME_I	357238	363904
Y48G1A.1	WBGene00021657	CHROMOSOME_I	348537	357235
Y50C1A.1	WBGene00021733	CHROMOSOME_I	398893	412513
Y50C1A.2	WBGene00021734	CHROMOSOME_I	412913	418663
C53D5.5	WBGene00016906	CHROMOSOME_I	305810	310888
C07F11.2	WBGene00015570	CHROMOSOME_I	420924	423721
C07F11.1	WBGene00006593	CHROMOSOME_I	444001	461610
W04C9.3	WBGene00021025	CHROMOSOME_I	477584	481957
C53D5.6	WBGene00002077	CHROMOSOME_I	310980	314992
C53D5.1	WBGene00016902	CHROMOSOME_I	291215	305473
R119.6	WBGene00006385	CHROMOSOME_I	382835	388850
R119.5	WBGene00020090	CHROMOSOME_I	388509	394418
W04C9.6	WBGene00021028	CHROMOSOME_I	482481	487993
Y65B4BL.3	WBGene00022035	CHROMOSOME_I	496207	502046
Y65B4BL.4	WBGene00022036	CHROMOSOME_I	502957	506253
Y65B4BL.5	WBGene00022037	CHROMOSOME_I	511017	516459
Y65B4BL.1	WBGene00022033	CHROMOSOME_I	530568	532855
Y48G1A.6	WBGene00021661	CHROMOSOME_I	343117	348367
Y48G1A.2	WBGene00021658	CHROMOSOME_I	347464	348361
Y65B4BL.2	WBGene00022034	CHROMOSOME_I	506479	509059
Y65B4BL.7	WBGene00022039	CHROMOSOME_I	508852	510840
Y65B4BR.8	WBGene00022043	CHROMOSOME_I	534455	535350
W04C9.4	WBGene00021026	CHROMOSOME_I	461995	462655
W04C9.5	WBGene00021027	CHROMOSOME_I	462644	467134
Y65B4BR.1	WBGene00022040	CHROMOSOME_I	562738	565184
Y65B4BR.2	WBGene00002393	CHROMOSOME_I	557433	561674
Y65B4BR.3	WBGene00004235	CHROMOSOME_I	550710	556685
Y65B4BL.6	WBGene00022038	CHROMOSOME_I	520115	521557
W04C9.2	WBGene00021024	CHROMOSOME_I	488607	490248
W04C9.1	WBGene00001814	CHROMOSOME_I	489986	496157
Y65B4BR.9	WBGene00000434	CHROMOSOME_I	565438	566394
R119.7	WBGene00020091	CHROMOSOME_I	364521	368511
R119.2	WBGene00020088	CHROMOSOME_I	368372	373411
R119.3	WBGene00020089	CHROMOSOME_I	373349	379078
R119.4	WBGene00004143	CHROMOSOME_I	377477	381907
F56A6.5	WBGene00044427	CHROMOSOME_I	582290	583751
F56A6.2	WBGene00002040	CHROMOSOME_I	585822	607574
Y65B4A.6	WBGene00022029	CHROMOSOME_I	631057	636353
Y65B4A.3	WBGene00022027	CHROMOSOME_I	636849	637855
Y65B4BR.4	WBGene00007009	CHROMOSOME_I	537124	542200
Y65B4A.1	WBGene00022025	CHROMOSOME_I	654098	658709
Y18H1A.14	WBGene00044461	CHROMOSOME_I	667617	674416
Y65B4A.9	WBGene00022032	CHROMOSOME_I	663626	666897
Y65B4BR.5	WBGene00022042	CHROMOSOME_I	535791	536673
Y18H1A.1	WBGene00021207	CHROMOSOME_I	688281	691270
Y18H1A.10	WBGene00021214	CHROMOSOME_I	683726	686578
Y18H1A.2	WBGene00021208	CHROMOSOME_I	694978	698330
Y18H1A.3	WBGene00021209	CHROMOSOME_I	700276	715853
Y18H1A.6	WBGene00004028	CHROMOSOME_I	720013	731085
Y18H1A.7	WBGene00021211	CHROMOSOME_I	717941	719730
Y65B4BR.6	WBGene00001725	CHROMOSOME_I	572179	575122
Y65B4A.8	WBGene00022031	CHROMOSOME_I	659092	663597
Y18H1A.13	WBGene00000623	CHROMOSOME_I	741881	745457
Y18H1A.15	WBGene00044434	CHROMOSOME_I	731982	736555
Y18H1A.8	WBGene00021212	CHROMOSOME_I	758758	760544
Y18H1A.11	WBGene00021215	CHROMOSOME_I	680416	683531
Y65B4A.2	WBGene00022026	CHROMOSOME_I	638131	653988
Y65B4A.7	WBGene00022030	CHROMOSOME_I	645628	647245
F56A6.4	WBGene00018923	CHROMOSOME_I	614655	629447
F56A6.1	WBGene00018921	CHROMOSOME_I	618209	621466
Y65B4A.4	WBGene00022028	CHROMOSOME_I	621710	622190
T06A4.2	WBGene00020282	CHROMOSOME_I	760848	761845
Y18H1A.4	WBGene00021210	CHROMOSOME_I	692030	694951
ZC123.3	WBGene00022518	CHROMOSOME_I	803370	835296
Y18H1A.12	WBGene00000624	CHROMOSOME_I	745755	748510
Y18H1A.9	WBGene00021213	CHROMOSOME_I	748230	757013
Y95B8A.4	WBGene00022385	CHROMOSOME_I	907467	911198
T06A4.1	WBGene00020281	CHROMOSOME_I	770894	776371
T06A4.3	WBGene00020283	CHROMOSOME_I	763627	770723
Y95B8A.1	WBGene00003548	CHROMOSOME_I	942414	947679
Y95B8A.10	WBGene00022389	CHROMOSOME_I	873483	882716
Y95B8A.5	WBGene00001678	CHROMOSOME_I	897286	906007
F54A5.1	WBGene00018786	CHROMOSOME_I	989673	992181
ZC123.1	WBGene00022517	CHROMOSOME_I	837998	841750
ZC123.4	WBGene00022519	CHROMOSOME_I	841748	846766
C54G6.3	WBGene00016932	CHROMOSOME_I	996047	997111
C54G6.2	WBGene00016931	CHROMOSOME_I	1003891	1010768
Y95B8A.8	WBGene00022388	CHROMOSOME_I	853453	854134
Y95B8A.7	WBGene00022387	CHROMOSOME_I	853562	871950
Y95B8A.6	WBGene00022386	CHROMOSOME_I	882920	890210
Y95B8A.11	WBGene00022390	CHROMOSOME_I	889934	895102
Y34D9A.11	WBGene00021335	CHROMOSOME_I	1018837	1019222
Y95B8A.2	WBGene00022383	CHROMOSOME_I	938485	941779
Y34D9B.1	WBGene00003238	CHROMOSOME_I	948568	957376
Y95B8A.12	WBGene00022391	CHROMOSOME_I	912417	926880
R06A10.3	WBGene00019910	CHROMOSOME_I	1078426	1079237
C54G6.1	WBGene00016930	CHROMOSOME_I	1011388	1014384
F54A5.2	WBGene00018787	CHROMOSOME_I	963702	969429
F54A5.3	WBGene00018788	CHROMOSOME_I	969105	973140
ZK993.2	WBGene00022838	CHROMOSOME_I	1107580	1115570
ZK993.1	WBGene00022837	CHROMOSOME_I	1128326	1131740
C54G6.5	WBGene00005002	CHROMOSOME_I	1016405	1017183
Y48G8AL.10	WBGene00021689	CHROMOSOME_I	1142032	1154389
Y48G8AL.9	WBGene00021688	CHROMOSOME_I	1136367	1141024
Y48G8AL.14	WBGene00000165	CHROMOSOME_I	1155345	1156023
R06A10.2	WBGene00001745	CHROMOSOME_I	1068593	1075013
Y34D9A.10	WBGene00021334	CHROMOSOME_I	1053923	1066904
Y34D9A.2	WBGene00021328	CHROMOSOME_I	1062295	1065272
R06A10.1	WBGene00019909	CHROMOSOME_I	1084581	1089745
R06A10.5	WBGene00044895	CHROMOSOME_I	1088552	1089718
R06A10.4	WBGene00019911	CHROMOSOME_I	1089668	1095799
Y48G8AL.5	WBGene00021686	CHROMOSOME_I	1193160	1207868
Y48G8AR.1	WBGene00001707	CHROMOSOME_I	1259490	1268157
Y48G8AL.15	WBGene00021692	CHROMOSOME_I	1254771	1258598
Y48G8AR.3	WBGene00021694	CHROMOSOME_I	1287305	1287961
K12C11.4	WBGene00003400	CHROMOSOME_I	1305576	1328447
Y48G8AL.7	WBGene00021687	CHROMOSOME_I	1157571	1162903
Y48G8AL.11	WBGene00001816	CHROMOSOME_I	1162891	1175871
K12C11.5	WBGene00044896	CHROMOSOME_I	1332699	1334080
K12C11.6	WBGene00045052	CHROMOSOME_I	1337021	1338122
K12C11.7	WBGene00045053	CHROMOSOME_I	1338786	1339771
Y48G8AL.6	WBGene00004880	CHROMOSOME_I	1176475	1190070
Y48G8AR.2	WBGene00021693	CHROMOSOME_I	1282100	1285437
Y92H12BL.1	WBGene00022363	CHROMOSOME_I	1348504	1359597
Y92H12BL.5	WBGene00022366	CHROMOSOME_I	1365310	1375885
Y34D9A.8	WBGene00021333	CHROMOSOME_I	1019578	1053648
Y34D9A.6	WBGene00021331	CHROMOSOME_I	1049596	1050729
Y34D9A.1	WBGene00021327	CHROMOSOME_I	1019827	1029955
Y34D9A.4	WBGene00004952	CHROMOSOME_I	1030631	1033441
Y34D9A.3	WBGene00021329	CHROMOSOME_I	1034474	1040871
Y34D9A.7	WBGene00021332	CHROMOSOME_I	1041486	1048562
Y48G8AL.8	WBGene00004429	CHROMOSOME_I	1156579	1157465
Y92H12BM.1	WBGene00022367	CHROMOSOME_I	1386258	1392761
Y92H12BR.6	WBGene00022371	CHROMOSOME_I	1405945	1413073
Y92H12BR.7	WBGene00022372	CHROMOSOME_I	1394570	1402944
Y92H12BL.4	WBGene00022365	CHROMOSOME_I	1376943	1385059
Y92H12BL.2	WBGene00022364	CHROMOSOME_I	1378830	1379106
Y92H12BR.4	WBGene00022370	CHROMOSOME_I	1433016	1433853
Y92H12BR.2	WBGene00022368	CHROMOSOME_I	1413916	1415811
K12C11.3	WBGene00019674	CHROMOSOME_I	1335376	1336872
Y92H12BR.8	WBGene00022373	CHROMOSOME_I	1436280	1441316
F47G6.2	WBGene00018579	CHROMOSOME_I	1471298	1479926
F47G6.3	WBGene00018580	CHROMOSOME_I	1465611	1469588
F47G6.1	WBGene00001115	CHROMOSOME_I	1483084	1491282
Y92H12A.5	WBGene00022361	CHROMOSOME_I	1491341	1514411
F47G6.4	WBGene00004969	CHROMOSOME_I	1446667	1465342
F37F2.3	WBGene00001773	CHROMOSOME_I	1451123	1453079
Y92H12A.4	WBGene00022360	CHROMOSOME_I	1514763	1527351
Y92H12A.3	WBGene00022359	CHROMOSOME_I	1529890	1534238
K12C11.2	WBGene00004888	CHROMOSOME_I	1340679	1341260
K12C11.1	WBGene00019673	CHROMOSOME_I	1340742	1344696
Y92H12A.2	WBGene00022358	CHROMOSOME_I	1543526	1556197
Y92H12A.1	WBGene00005077	CHROMOSOME_I	1566932	1580205
Y73E7A.4	WBGene00022271	CHROMOSOME_I	1594657	1596177
Y73E7A.2	WBGene00022269	CHROMOSOME_I	1601841	1606883
Y73E7A.5	WBGene00022272	CHROMOSOME_I	1600625	1601498
Y73E7A.9	WBGene00044440	CHROMOSOME_I	1610391	1619945
Y92H12BR.3	WBGene00022369	CHROMOSOME_I	1416592	1424610
F37F2.2	WBGene00018159	CHROMOSOME_I	1441667	1444135
Y73E7A.7	WBGene00000269	CHROMOSOME_I	1621352	1626607
Y71G12B.18	WBGene00022156	CHROMOSOME_I	1652915	1655443
Y48G8AL.1	WBGene00021685	CHROMOSOME_I	1211492	1254700
Y48G8AL.16	WBGene00195068	CHROMOSOME_I	1214966	1217277
Y48G8AL.12	WBGene00021690	CHROMOSOME_I	1218496	1218985
Y48G8AL.13	WBGene00021691	CHROMOSOME_I	1223958	1229284
Y71G12B.21	WBGene00004168	CHROMOSOME_I	1655646	1656728
Y71G12B.33	WBGene00044358	CHROMOSOME_I	1657631	1663323
Y71G12B.22	WBGene00022157	CHROMOSOME_I	1663401	1666770
Y71G12B.17	WBGene00022155	CHROMOSOME_I	1667502	1669776
Y71G12B.35	WBGene00185098	CHROMOSOME_I	1672872	1676432
Y71G12B.16	WBGene00022154	CHROMOSOME_I	1680451	1685065
Y71G12B.31	WBGene00044348	CHROMOSOME_I	1686217	1691613
Y73E7A.6	WBGene00022273	CHROMOSOME_I	1607680	1610136
Y73E7A.3	WBGene00022270	CHROMOSOME_I	1586168	1593676
Y71G12B.14	WBGene00003080	CHROMOSOME_I	1701359	1701810
Y71G12B.13	WBGene00022153	CHROMOSOME_I	1702124	1707892
Y71G12B.10	WBGene00022150	CHROMOSOME_I	1751482	1754412
Y73E7A.1	WBGene00022268	CHROMOSOME_I	1629004	1633498
Y73E7A.8	WBGene00022274	CHROMOSOME_I	1634741	1644657
Y71G12B.20	WBGene00003111	CHROMOSOME_I	1644589	1651382
Y71G12B.23	WBGene00022158	CHROMOSOME_I	1670080	1672744
Y71G12B.7	WBGene00022147	CHROMOSOME_I	1792456	1792900
Y71G12B.27	WBGene00022162	CHROMOSOME_I	1797436	1798697
Y71G12B.15	WBGene00006702	CHROMOSOME_I	1698095	1701132
Y71G12B.4	WBGene00022144	CHROMOSOME_I	1808092	1811784
Y71G12B.5	WBGene00022145	CHROMOSOME_I	1799718	1807011
Y71G12B.8	WBGene00022148	CHROMOSOME_I	1767888	1790205
Y71G12B.25	WBGene00022160	CHROMOSOME_I	1771370	1775935
Y71G12B.26	WBGene00022161	CHROMOSOME_I	1779840	1782588
Y71G12B.3	WBGene00022143	CHROMOSOME_I	1812956	1813586
Y71G12B.32	WBGene00044349	CHROMOSOME_I	1814103	1816063
Y71G12B.30	WBGene00044347	CHROMOSOME_I	1818514	1822933
Y71G12B.12	WBGene00022152	CHROMOSOME_I	1709098	1715570
Y71G12B.2	WBGene00022142	CHROMOSOME_I	1816151	1818511
Y71G12B.28	WBGene00022163	CHROMOSOME_I	1829771	1832064
C53H9.3	WBGene00044746	CHROMOSOME_I	1832116	1832643
Y71G12B.9	WBGene00022149	CHROMOSOME_I	1755330	1766469
Y71G12B.6	WBGene00022146	CHROMOSOME_I	1793253	1796427
Y71G12B.11	WBGene00022151	CHROMOSOME_I	1721593	1740920
Y71G12B.24	WBGene00022159	CHROMOSOME_I	1740648	1751057
M01D7.4	WBGene00006461	CHROMOSOME_I	1845222	1850518
M01D7.9	WBGene00044897	CHROMOSOME_I	1851684	1855128
M01D7.1	WBGene00019706	CHROMOSOME_I	1857893	1860624
M01D7.2	WBGene00004743	CHROMOSOME_I	1862613	1872308
Y71G12A.3	WBGene00022139	CHROMOSOME_I	1874148	1883474
Y71G12A.4	WBGene00022140	CHROMOSOME_I	1885206	1894865
Y51F10.7	WBGene00021768	CHROMOSOME_I	1911679	1913968
Y71G12B.1	WBGene00022141	CHROMOSOME_I	1823446	1825969
Y51F10.6	WBGene00021767	CHROMOSOME_I	1917046	1923098
Y51F10.5	WBGene00021766	CHROMOSOME_I	1924301	1932262
Y51F10.10	WBGene00021771	CHROMOSOME_I	1950599	1958514
M01D7.7	WBGene00001196	CHROMOSOME_I	1835680	1841274
C53H9.1	WBGene00004441	CHROMOSOME_I	1834882	1835441
Y51F10.11	WBGene00044438	CHROMOSOME_I	1961617	1964975
Y51F10.3	WBGene00021764	CHROMOSOME_I	1967820	1973885
Y51F10.2	WBGene00021763	CHROMOSOME_I	1978006	1983439
Y71G12A.2	WBGene00022138	CHROMOSOME_I	1895162	1910515
Y20F4.3	WBGene00021238	CHROMOSOME_I	1988725	2010482
Y20F4.2	WBGene00021237	CHROMOSOME_I	2026318	2033951
M01D7.6	WBGene00001309	CHROMOSOME_I	1842444	1843521
M01D7.5	WBGene00003750	CHROMOSOME_I	1843354	1843971
Y20F4.8	WBGene00044435	CHROMOSOME_I	2049142	2050180
Y20F4.4	WBGene00021239	CHROMOSOME_I	2034326	2043814
Y37E3.1	WBGene00021346	CHROMOSOME_I	2061669	2064019
Y20F4.5	WBGene00021240	CHROMOSOME_I	2050816	2053704
Y51F10.4	WBGene00021765	CHROMOSOME_I	1932353	1945224
C53H9.2	WBGene00016907	CHROMOSOME_I	1832896	1834766
Y37E3.3	WBGene00021347	CHROMOSOME_I	2064295	2065121
Y37E3.4	WBGene00021348	CHROMOSOME_I	2064954	2065710
Y37E3.9	WBGene00004014	CHROMOSOME_I	2071352	2072552
Y37E3.10	WBGene00021351	CHROMOSOME_I	2072679	2076909
Y37E3.11	WBGene00021352	CHROMOSOME_I	2078961	2085681
Y37E3.13	WBGene00021353	CHROMOSOME_I	2085675	2093853
Y37E3.5	WBGene00021349	CHROMOSOME_I	2065729	2069052
Y37E3.7	WBGene00004409	CHROMOSOME_I	2069043	2069590
W03F11.3	WBGene00021006	CHROMOSOME_I	2233752	2234908
W03F11.2	WBGene00001542	CHROMOSOME_I	2223308	2233193
Y37E3.17	WBGene00021355	CHROMOSOME_I	2128592	2145971
W03F11.4	WBGene00021007	CHROMOSOME_I	2235609	2241359
F12B6.3	WBGene00017399	CHROMOSOME_I	2242231	2247296
Y39G10AL.1	WBGene00021458	CHROMOSOME_I	2279835	2280869
F12B6.1	WBGene00000020	CHROMOSOME_I	2255924	2272868
W03F11.6	WBGene00021009	CHROMOSOME_I	2160044	2209637
W03F11.5	WBGene00021008	CHROMOSOME_I	2216101	2219486
W03F11.1	WBGene00021005	CHROMOSOME_I	2219472	2222315
Y37E3.8	WBGene00021350	CHROMOSOME_I	2069681	2070612
Y39G10AR.20	WBGene00021475	CHROMOSOME_I	2312497	2313081
Y37E3.15	WBGene00003799	CHROMOSOME_I	2097348	2123445
Y37E3.19	WBGene00044810	CHROMOSOME_I	2107404	2108632
Y37E3.16	WBGene00021354	CHROMOSOME_I	2113650	2118553
Y39G10AL.3	WBGene00000408	CHROMOSOME_I	2280916	2291185
Y39G10AR.13	WBGene00002047	CHROMOSOME_I	2304471	2306818
Y39G10AR.9	WBGene00021467	CHROMOSOME_I	2306986	2308973
Y39G10AR.15	WBGene00021471	CHROMOSOME_I	2322030	2327331
Y39G10AR.21	WBGene00021476	CHROMOSOME_I	2308973	2312132
Y39G10AR.22	WBGene00021477	CHROMOSOME_I	2327990	2330164
Y39G10AR.16	WBGene00021472	CHROMOSOME_I	2330896	2332637
Y39G10AR.6	WBGene00021464	CHROMOSOME_I	2333327	2338690
Y39G10AR.5	WBGene00021463	CHROMOSOME_I	2342217	2350470
Y39G10AR.3	WBGene00021461	CHROMOSOME_I	2357884	2372966
Y39G10AR.17	WBGene00021473	CHROMOSOME_I	2377090	2381853
F12B6.2	WBGene00017398	CHROMOSOME_I	2250132	2254894
Y39G10AR.25	WBGene00195173	CHROMOSOME_I	2352836	2356157
Y39G10AR.2	WBGene00021460	CHROMOSOME_I	2402233	2409989
F23C8.7	WBGene00017736	CHROMOSOME_I	2422335	2425075
Y39G10AR.8	WBGene00021466	CHROMOSOME_I	2313270	2316015
F23C8.6	WBGene00017735	CHROMOSOME_I	2420832	2421744
F23C8.3	WBGene00017732	CHROMOSOME_I	2438802	2442950
Y39G10AR.7	WBGene00021465	CHROMOSOME_I	2316308	2318307
Y39G10AR.14	WBGene00003156	CHROMOSOME_I	2318292	2321849
F23C8.4	WBGene00017733	CHROMOSOME_I	2434005	2435711
F23C8.1	WBGene00017731	CHROMOSOME_I	2446764	2448347
F23C8.12	WBGene00017740	CHROMOSOME_I	2451148	2451809
F23C8.11	WBGene00017739	CHROMOSOME_I	2449415	2450685
Y74C10AR.1	WBGene00001232	CHROMOSOME_I	2485869	2489775
F23C8.8	WBGene00017737	CHROMOSOME_I	2429684	2432583
F23C8.9	WBGene00017738	CHROMOSOME_I	2431708	2433615
Y23H5B.6	WBGene00021277	CHROMOSOME_I	2489977	2497385
Y39G10AR.18	WBGene00021474	CHROMOSOME_I	2382953	2401490
Y23H5B.5	WBGene00021276	CHROMOSOME_I	2498135	2506257
Y23H5B.4	WBGene00021275	CHROMOSOME_I	2533269	2542094
Y39G10AR.11	WBGene00021469	CHROMOSOME_I	2293133	2297320
Y39G10AR.10	WBGene00021468	CHROMOSOME_I	2300085	2302826
Y39G10AR.12	WBGene00021470	CHROMOSOME_I	2297281	2304397
F23C8.13	WBGene00017741	CHROMOSOME_I	2415134	2418523
F23C8.5	WBGene00017734	CHROMOSOME_I	2418451	2420822
Y23H5B.3	WBGene00021274	CHROMOSOME_I	2544750	2546190
Y23H5B.8	WBGene00021279	CHROMOSOME_I	2546898	2548329
Y23H5B.2	WBGene00021273	CHROMOSOME_I	2549297	2550200
Y23H5B.9	WBGene00021280	CHROMOSOME_I	2551376	2551592
Y23H5B.1	WBGene00021272	CHROMOSOME_I	2553035	2555426
Y23H5B.12	WBGene00194701	CHROMOSOME_I	2556225	2557455
C55C2.4	WBGene00016950	CHROMOSOME_I	2558301	2560112
T16H5.1	WBGene00002141	CHROMOSOME_I	2451909	2464639
C55C2.2	WBGene00006047	CHROMOSOME_I	2562659	2563051
C55C2.1	WBGene00016948	CHROMOSOME_I	2568761	2570748
C55C2.3	WBGene00016949	CHROMOSOME_I	2560397	2561822
Y23H5A.4	WBGene00021271	CHROMOSOME_I	2617561	2620427
Y74C10AL.2	WBGene00022280	CHROMOSOME_I	2468788	2472369
Y74C10AR.3	WBGene00022281	CHROMOSOME_I	2472071	2485384
Y74C10AR.2	WBGene00022282	CHROMOSOME_I	2482685	2483730
Y23H5B.7	WBGene00021278	CHROMOSOME_I	2506780	2513828
Y23H5A.3	WBGene00021270	CHROMOSOME_I	2620655	2621860
Y23H5A.8	WBGene00023172	CHROMOSOME_I	2633008	2634643
F40E3.7	WBGene00077781	CHROMOSOME_I	2636905	2637593
F40E3.3	WBGene00018231	CHROMOSOME_I	2638650	2639315
K07A3.3	WBGene00019461	CHROMOSOME_I	2599980	2602651
F40E3.2	WBGene00018230	CHROMOSOME_I	2642723	2643773
K07A3.2	WBGene00004226	CHROMOSOME_I	2587542	2595282
K07A3.1	WBGene00001404	CHROMOSOME_I	2580936	2586128
C55C2.5	WBGene00000006	CHROMOSOME_I	2571777	2576024
F32B5.8	WBGene00000788	CHROMOSOME_I	2686641	2689475
F32B5.4	WBGene00017978	CHROMOSOME_I	2692078	2692471
F32B5.3	WBGene00017977	CHROMOSOME_I	2692758	2694086
Y23H5A.2	WBGene00021269	CHROMOSOME_I	2621956	2623272
Y23H5A.7	WBGene00000800	CHROMOSOME_I	2623102	2628579
F32B5.2	WBGene00017976	CHROMOSOME_I	2697441	2699957
Y71F9B.16	WBGene00001048	CHROMOSOME_I	2718027	2721479
Y23H5A.5	WBGene00000832	CHROMOSOME_I	2606755	2617363
F40E3.5	WBGene00018232	CHROMOSOME_I	2645267	2657243
F40E3.6	WBGene00018233	CHROMOSOME_I	2650738	2651713
F32B5.1	WBGene00017975	CHROMOSOME_I	2700421	2702084
F32B5.7	WBGene00017980	CHROMOSOME_I	2672948	2682799
Y71F9B.2	WBGene00022126	CHROMOSOME_I	2731565	2735543
Y71F9B.8	WBGene00022129	CHROMOSOME_I	2735346	2742510
Y71F9B.3	WBGene00022127	CHROMOSOME_I	2730003	2731456
Y71F9B.7	WBGene00004043	CHROMOSOME_I	2755580	2758213
Y71F9B.6	WBGene00022128	CHROMOSOME_I	2722520	2726660
Y71F9B.4	WBGene00004920	CHROMOSOME_I	2726657	2727547
Y71F9B.9	WBGene00022130	CHROMOSOME_I	2759024	2761042
Y71F9B.5	WBGene00003006	CHROMOSOME_I	2706884	2717551
F32B5.6	WBGene00017979	CHROMOSOME_I	2668161	2672431
W03D8.10	WBGene00020991	CHROMOSOME_I	2786136	2787514
W03D8.1	WBGene00020984	CHROMOSOME_I	2787856	2790333
W03D8.7	WBGene00020988	CHROMOSOME_I	2796384	2797263
W03D8.8	WBGene00020989	CHROMOSOME_I	2791690	2794897
Y71F9B.14	WBGene00022132	CHROMOSOME_I	2780851	2782773
Y71F9B.15	WBGene00022133	CHROMOSOME_I	2781450	2784273
W03D8.5	WBGene00020987	CHROMOSOME_I	2816462	2817648
Y71F9B.13	WBGene00022131	CHROMOSOME_I	2776371	2778721
W03D8.11	WBGene00044796	CHROMOSOME_I	2818767	2820817
Y71F9B.10	WBGene00004946	CHROMOSOME_I	2761158	2776105
Y71F9B.1	WBGene00022125	CHROMOSOME_I	2774911	2775424
W03D8.6	WBGene00002174	CHROMOSOME_I	2802823	2815788
W03D8.3	WBGene00020986	CHROMOSOME_I	2820844	2822759
W10C8.3	WBGene00021126	CHROMOSOME_I	2832873	2833255
W10C8.2	WBGene00004077	CHROMOSOME_I	2823469	2830295
W10C8.1	WBGene00021125	CHROMOSOME_I	2846721	2849794
Y71F9AL.11	WBGene00022116	CHROMOSOME_I	2862404	2864466
W10C8.6	WBGene00044433	CHROMOSOME_I	2858516	2859849
W03D8.9	WBGene00020990	CHROMOSOME_I	2784618	2786070
Y71F9AL.12	WBGene00022117	CHROMOSOME_I	2871258	2875291
W03D8.2	WBGene00020985	CHROMOSOME_I	2798214	2799891
W10C8.4	WBGene00021127	CHROMOSOME_I	2851964	2853857
Y71F9AL.10	WBGene00022115	CHROMOSOME_I	2866430	2869378
W10C8.5	WBGene00021128	CHROMOSOME_I	2853971	2855736
Y71F9AL.1	WBGene00022107	CHROMOSOME_I	2924933	2928140
Y71F9AL.5	WBGene00001791	CHROMOSOME_I	2901336	2903007
Y71F9AL.17	WBGene00022119	CHROMOSOME_I	2895329	2900862
